,,,,,,,,
Week,Day,Date,Format,Caption (copy),Visual / Image prompt,CTA,EVENT,Anna comment
1,Mon,4 Nov,Feed carousel,“The embers are still glowing from opening weekend. Relive the spark – swipe to see the first flames.”,3-slide: guests clinking / chef torching pineapple / empty wine glass w/ neon reflection,Reserve via link in bio,,?
1,Wed,6 Nov,Feed Reel,“Meet the bite that’s already IG-famous – Croquetas Gai Massaman. ครั้งแรกในไทยกับไส้แกงมัสมั่นในคร็อกเก้ต์!”,"Gooey cross-section pull, slow-mo",Book table,,Thai grammar incorrect
1,Thu,7 Nov,Feed photo,“Blind-taste bravery starts tonight. Can you spot the 3 000 THB bottle? Tickets still warm → link in bio.”,"6 black tasting glasses, back-light",Buy ticket,Mystery Wine,?
1,Fri,8 Nov,Feed Reel,“Friday plan: Wagyu. Wine. Win.”,8 s: tableside carve → chimichurri pour → guest cheers,Reserve,,
1,Sun,10 Nov,Feed,“Sunday spotlight goes to… YOU. Tag us this week for a feature & free dessert.”,"Repost UGC frame, gold “Thank you” sticker",Tag & book,,
2,Mon,11 Nov,Feed,“Zero-proof never looked so sexy. Our lacto-fermented blueberry gel is the new cork-pop.”,"Macro Matcha-brûlée, pistachio dust mid-fall",Link in bio,,?blue berry gel?
2,Wed,13 Nov,Feed,"“3-glass flight, 890 THB, infinite stories. ดื่มได้ ไม่เมา แต่ฟิน.” Tonight at a 10% off!",Overhead flight board w/ hand-written notes,Reserve,wine flight (10%),"thai- can drink, not drunk, but fin? (no alcahol or)"
2,Thu,14 Nov,Feed,“Throw-back to last night’s flambé – the smell of caramel still haunts our corridor.”,5-frame burst Pineapple Express fire,Book now,,not haunt but lingers or some other  words?
2,Sat,16 Nov,Feed,"“Saturday soundtrack: sizzle, clink, saxophone. Live Latin fusion from 8 pm.”","Candle-lit table, trombone bokeh",RSVP,Live Latin Fusion,
2,Sun,17 Nov,Story,Poll: “Midnight snack – Patatas Bravas or Massaman croquetas?”,"50/50 split image, flame behind",Vote & share,,great
3,Mon,18 Nov,Feed,"“Monday motivation: 45-day dry-age, 4 min flame-kiss, lifetime memory.”",Carousel: raw → grill → plated slice,Reserve,,
3,Wed,20 Nov,Feed,“Wine trivia: Syrah loves smoke. We love Syrah. Coincidence? Come taste tonight.”,"Glass on salt block, smoke curl",Book,Wine taste,
3,Fri,22 Nov,Feed,“Weekend forecast: 100 % Bubbles & Bravas pop-up 3 pm.”,"Terrace ice bucket, 5 rosés, palm shadow",Tickets,Event (ladies),cute
